Sr.No.,Events,Rank,Gold,Silver,Bronze,Total
0, Athletics,3,85,102,96,283
1, Shooting,6,16,30,34,80
2, Wrestling,7,11,15,39,65
3, Kabaddi,1,11,1,1,13
4, Tennis,5,10,7,17,34
5, Boxing,8,9,17,36,62
6, Archery,3,6,6,7,19
7, Hockey,3,5,11,7,23
8, Cue sports,3,5,4,6,15
9, Equestrian,3,4,3,7,14
10, Squash,3,3,4,11,18
11, Golf,5,3,4,0,7
12, Board games,2,3,3,4,10
13, Rowing,6,2,7,19,28
14, Diving,3,2,1,2,5
15, Football,6,2,0,1,3
16, Cricket,2,2,0,0,2
17, Sailing,10,1,8,14,23
18, Badminton,7,1,2,10,13
19, Swimming,14,1,2,6,9
20, Water polo,5,1,1,1,3
21, Weightlifting,19,0,5,9,14
22, Wushu,14,0,2,8,10
23, Cycling,17,0,1,2,3
24, Volleyball,5,0,1,2,3
25, Kurash,8,0,1,1,2
26, Judo,17,0,0,5,5
27, Roller sports,7,0,0,4,4
28, Table tennis,11,0,0,3,3
29, Sepaktakraw,11,0,0,2,2
30, Canoeing,11,0,0,2,2
31, Gymnastics,13,0,0,1,1
32, Taekwondo,24,0,0,1,1
